"id";"name";"meta_keywords";"tags"
"407";"Программа строительства православных храмов в Москве";"";"Программа-200"
"408";"Старт тоннелепроходческого комплекса от станции «Хорошевская» до станции «Шелепиха». С. Кидяев, вице-президент ЗАО «Объединение «Ингеоком»";"";"метро «Хорошевская»|метро «Шелепиха»"
"409";"Открытие информационного павильона в Зарядье. С. Собянин, М. Хуснуллин";"";"Сергей Собянин|Зарядье"
"410";"Реконструкция стадиона «Лужники», демонтаж кресел";"";"Спортивные сооружения"
"411";"Открытие перехода из учебного корпуса в столовую в Московском казачьем кадетском корпусе им. М.А. Шолохова";"";"Градостроительная политика"
"412";"В столице появится Кожуховская линия метро";"";"Метрополитен"
"413";"Автобусное сообщение по Дмитровке наладят для жителей района Северный";"";"новости города|Марат Хуснуллин"
"414";"Как идет освоение промзоны «ЗиЛ»? Территорию бывшего завода проинспектировали мэр Москвы Сергей Собянин и его заместитель Марат Хуснуллин";"";"Промзоны|Марат Хуснуллин|Сергей Собянин"
"415";"Ход реконструкции Гребного канала в Крылатском. М. Хуснуллин";"";"Спортивные сооружения|Марат Хуснуллин"
"416";"""Большое интервью"": Марат Хуснуллин - о строительстве стадионов";"";"Спортивные сооружения|Марат Хуснуллин"
"417";"«Москва в цифрах»: ТПУ «Селигерская»";"";"ТПУ|метро «Селигерская»"
"418";"Строительство ЦКАД начнется в июне";"";"Дороги|Дорожное строительство"
"419";"""Вечер с Ксенией Соколянской"": Китайцы помогут строить ТПУ в Москве";"";"ТПУ|Сергей Собянин"
"420";"Для строительства ТПУ в Москве могут привлечь специалистов Гонконга";"";"ТПУ|Сергей Собянин"
"421";"Мэр Москвы провел встречу с представителями крупного бизнеса Гонконга";"";"Сергей Собянин"
"422";"Москва пересмотрит некоторые проекты ТПУ с учетом опыта Гонконга";"";"ТПУ|Марат Хуснуллин"
"423";"""Строительство в деталях"": Каким будет парк ""Зарядье""";"";"""Зарядье"""
"424";"Снос незаконных строений на территории Мневниковской поймы";"";\N
"425";"Каким будет парк «Зарядье»?";"";"""Зарядье"""
"426";"Осмотр хода строительства станции «Косино-Ухтомская» Кожуховской линии метро. С. Собянин, М. Хуснуллин";"";"метро «Косино-Ухтомская»"
"427";"Объезд. «Новая Москва». М. Хуснуллин";"";"ТиНАО"
"428";"Финал городского конкурса детского рисунка на асфальте «Москва - для жизни, для детей»";"";"Сергей Лёвкин|Конкурс"
"429";"Закладка капсулы в фундамент технопарка Московского физико-технического института. С. Собянин";"";"Сергей Собянин"
"430";"Встреча заместителя мэра Москвы по градостроительной политике и строительству М. Хуснуллина с главами муниципальных округов и собраний ТиНАО";"";"ТиНАО|Марат Хуснуллин"
"431";"Стадион имени Эдуарда Стрельцова ждет реконструкция";"";"Спортивные сооружения"
"432";"«Москва в цифрах»: Строительство метро в «новой Москве»";"";"новая Москва|Метрополитен"
"433";"Строительство эстакады на Волоколамском шоссе";"";"Дорожное строительство|Эстакады"
"434";"Три станции МКЖД проложат под землей";"";"Железная дорога"
