"id";"name";"meta_keywords";"tags"
"421";"Открытие движения по реконструированной развязке на пересечении МКАД и Волгоградского проспекта. С. Собянин, М. Хуснуллин";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|вылетные магистрали|реконструкция|Волгоградский проспект|Сергей Собянин|аэрофотосъемка|Петр Аксенов|ВАО"
"422";"Открытие агрокластера в ""новой Москве"". С. Собянин, М. Хуснуллин";"";"жители|Марат Хуснуллин|Сергей Собянин|аэрофотосъемка|ТиНАО|НАО"
"423";"Музыкальная школа имени Танеева после реставрации. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|объекты образования|реконструкция|Сергей Собянин|ЦАО"
"424";"Открытие эстакады-въезда на Северо-Восточную хорду. С. Собянин, М. Хуснуллин";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|хорда|Хорды|Северо-Восточная хорда|Сергей Собянин|аэрофотосъемка|ВАО"
"425";"Освящение закладного камня нового храма в Тушино. Патриарх Кирилл, С. Собянин, М. Хуснуллин";"";"жители|Марат Хуснуллин|храмы|Программа-200|Сергей Собянин|СЗАО"
"426";"Реконструкция развязки на пересечении Каширского шоссе и МКАД. С. Собянин, А. Бочкарев";"";"дороги|Андрей Бочкарев|развязки|вылетные магистрали|реконструкция|Каширское шоссе|Сергей Собянин|аэрофотосъемка|ЮАО"
"427";"Запуск новой битумной установки на МНПЗ. С. Собянин, А. Бочкарев, А. Дюков";"";"Андрей Бочкарев|промышленные объекты|инженерные сети и сооружения|Промзоны|Сергей Собянин|аэрофотосъемка|ЮВАО"
"428";"Строительство станции ""Ходынское поле"" Второго кольца метро. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|строительство|тоннели|Третий пересадочный контур|станции метро|проходка тоннелей|метро «Ходынское поле» (Третий пересадочный контур)|Сергей Собянин|САО"
"429";"Реконструкция Ленинградского путепровода над МК МЖД. П. Аксенов";"";"дороги|строительство|вылетные магистрали|МКЖД|реконструкция|Ленинградское шоссе|Петр Аксенов"
"430";"Пресс-конференция руководителя Департамента развития новых территорий Москвы Владимира Жидкина";"";"Владимир Жидкин"
"431";"Открытие эстакады, путепровода и дублера на Можайском шоссе. С. Собянин, М. Хуснуллин, П. Аксенов, В. Власов";"";"МКАД|Марат Хуснуллин|строительство|развязки|вылетные магистрали|эстакады|реконструкция|Можайское шоссе|Сергей Собянин|ЗАО"
"432";"Осмотр строительства парка ""Зарядье"" у стен Кремля. С. Собянин, М. Хуснуллин, С. Кузнецов";"";"Марат Хуснуллин|Сергей Кузнецов|Зарядье|Городские конкурсы|Сергей Собянин|ЦАО"
"433";"Строительство мкр. Зеленый бор в Зеленограде. С. Собянин, М. Хуснуллин, А. Смирнов";"";"жители|Марат Хуснуллин|ДОУ|детские сады|строительство|школа|объекты образования|Сергей Собянин|ЗелАО"
"434";"Открытие эстакады на Мичуринской развязке. С. Собянин, М. Хуснуллин, Ф. Хайдаров";"";"МКАД|дороги|Марат Хуснуллин|развязки|вылетные магистрали|реконструкция|Сергей Собянин|Петр Аксенов|ЗАО"
"435";"Закладка памятной капсулы на стадионе ""Динамо"". М. Хуснуллин, А. Костин, А. Перегудов";"";"Марат Хуснуллин|Андрей Бочкарев|спортивные объекты|реконструкция|САО"
"436";"Реконструкция шоссе Энтузиастов. М. Хуснуллин";"";"Марат Хуснуллин|развязки|вылетные магистрали|хорда|реконструкция|Эстакады|Шоссе Энтузиастов|ВАО"
"437";"Открытие движения по новой эстакаде на Дмитровском шоссе. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Москва|дороги|Марат Хуснуллин|Андрей Бочкарев|строительство|вылетные магистрали|эстакады|Дмитровское шоссе|Сергей Собянин|СВАО"
"438";"VIII Московский форум недвижимости. М. Хуснуллин,  К. Тимофеев";"";"Марат Хуснуллин|Константин Тимофеев|форум"
"439";"Строительство храма Преображения Господня. Патриарх Кирилл, С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|храмы|Сергей Собянин|Владимир Ресин"
"440";"Открытие детского сада в районе Москворечье-Сабурово. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|ДОУ|детские сады|Сергей Собянин|ЮАО"
"441";"Новый МФК ""Водный"" на месте бывшей промзоны ""Братцево"". С. Собянин, М. Хуснуллин, К. Тимофеев";"";"Москва|жители|Марат Хуснуллин|Константин Тимофеев|строительство|офисные центры|Сергей Собянин|САО"
"442";"Строительство городка ОМОН в Строгино. С. Собянин, В. Колокольцев, А. Якунин, А. Бочкарев";"";"Андрей Бочкарев|строительство|Сергей Собянин|СЗАО"
"443";"Новая взрослая поликлиника в районе Левобережный. С. Собянин, А. Бочкарев";"";"Андрей Бочкарев|объекты медицины|Поликлиники|Сергей Собянин|САО"
"444";"Строительство электродепо ""Митино"". С. Собянин, М. Хуснуллин, А. Бочкарев, Д. Пегов";"";"Андрей Бочкарев|метро|строительство метро|электродепо|станции метро|Арбатско-Покровская линия|Сергей Собянин"
"445";"Строительство дорожных объектов на севере Москвы. М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|эстакады|Ленинградское шоссе|Петр Аксенов|САО"
"446";"Посещение школы имени Гнесиных после реставрации. С. Собянин, М. Хуснуллин, А. Бочкарев, М. Хохлов";"";"Марат Хуснуллин|школа|объекты образования|реконструкция|Сергей Собянин|ЦАО|Объекты культуры"
"447";"Открытие нового корпуса Высшей школы экономики. С. Собянин, М. Хуснуллин";"";"Москва|Марат Хуснуллин|строительство|объекты образования|Сергей Собянин|СЗАО"
"448";"Строительство дороги от Бусиновской развязки до улицы Фестивальной. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|строительство|развязки|вылетные магистрали|Ленинградское шоссе|Сергей Собянин|САО"
