"name";"description"
"Лидеры рейтинга крупнейших городов мира";""
"Рельсовый транспорт";""
"Строительство недвижимости";""
"Строительство улично-дорожной сети";""
"Повышение уровня доступности жилья";""
"Основные показатели на 2015 год";""
"Динамика роста показателей Москвы";""
"«Новая Москва»: территория  города увеличилась в 2,4 раза";"<p>1 июля 2012 года границы города увеличились&nbsp;за счет присоединения 148 тыс. га земли&nbsp;на юго-западе Подмосковья. К столице отошли два городских округа - Троицк и Щербинка,&nbsp;19 городских и сельских поселений (в Подольском, Ленинском и Наро-Фоминском районах)&nbsp;и часть территории Одинцовского и Красногорского районов Подмосковья. В результате расширения границ площадь столицы увеличилась примерно в 2,4 раза. &nbsp;</p>"
"Малое кольцо железной дороги будет работать как наземная линия метро";""
"Москва-Сити";""
"На пересечении МКАД и Бесединского шоссе  построят новую эстакаду";""
